0: X: -0.210723, Y: -0.537041, Z: 0.816812
1: X: -0.395908, Y: -0.243292, Z: 0.885475
2: X: -0.590655, Y: 0.218631, Z: 0.776742
3: X: -0.625818, Y: 0.624460, Z: 0.467335
4: X: -0.493952, Y: 0.868633, Z: 0.038570
5: X: -0.229267, Y: 0.888037, Z: -0.398532
6: X: 0.100850, Y: 0.676373, Z: -0.729622
7: X: 0.411398, Y: 0.287475, Z: -0.864934
8: X: 0.620883, Y: -0.177360, Z: -0.763576
9: X: 0.668480, Y: -0.595277, Z: -0.445848
10: X: 0.530261, Y: -0.847834, Z: 0.000601
11: X: 0.248337, Y: -0.861541, Z: 0.442804
12: X: -0.269535, Y: -0.513415, Z: 0.814712
13: X: -0.373984, Y: -0.273240, Z: 0.886271
14: X: -0.540950, Y: 0.203694, Z: 0.816016
15: X: -0.569475, Y: 0.625731, Z: 0.533065
16: X: -0.452454, Y: 0.884787, Z: 0.111525
17: X: -0.219142, Y: 0.915030, Z: -0.338670
18: X: 0.071791, Y: 0.710165, Z: -0.700365
19: X: 0.347610, Y: 0.323784, Z: -0.879961
20: X: 0.538549, Y: -0.148149, Z: -0.829468
21: X: 0.586839, Y: -0.591920, Z: -0.552495
22: X: 0.458580, Y: -0.881799, Z: -0.110154
23: X: 0.195166, Y: -0.911436, Z: 0.362208
24: X: -0.300444, Y: -0.473752, Z: 0.827824
25: X: -0.359907, Y: -0.215356, Z: 0.907793
26: X: -0.439520, Y: 0.283499, Z: 0.852320
27: X: -0.408957, Y: 0.708192, Z: 0.575516
28: X: -0.274953, Y: 0.949775, Z: 0.149430
29: X: -0.070310, Y: 0.946525, Z: -0.314875
30: X: 0.154313, Y: 0.700614, Z: -0.696654
31: X: 0.343704, Y: 0.275946, Z: -0.897620
32: X: 0.449701, Y: -0.223090, Z: -0.864870
33: X: 0.431779, Y: -0.678411, Z: -0.594413
34: X: 0.271314, Y: -0.952203, Z: -0.140351
35: X: 0.036520, Y: -0.936736, Z: 0.348126
36: X: -0.306537, Y: -0.441451, Z: 0.843301
37: X: -0.311729, Y: -0.175110, Z: 0.933896
38: X: -0.295026, Y: 0.330246, Z: 0.896603
39: X: -0.206254, Y: 0.751019, Z: 0.627240
40: X: -0.066018, Y: 0.978481, Z: 0.195492
41: X: 0.091751, Y: 0.953751, Z: -0.286253
42: X: 0.228619, Y: 0.683813, Z: -0.692916
