0: X: 0.184386, Y: 16.565588, Z: 33.521530
1: X: -3.972545, Y: 20.756723, Z: 35.437744
2: X: -7.013842, Y: 26.096491, Z: 34.568867
3: X: -8.124590, Y: 31.154106, Z: 31.147711
4: X: -7.007168, Y: 34.574383, Z: 26.090971
5: X: -3.960987, Y: 35.440865, Z: 20.753601
6: X: 0.197731, Y: 33.521378, Z: 16.565741
7: X: 4.354661, Y: 29.330248, Z: 14.649525
8: X: 7.395958, Y: 23.990482, Z: 15.518401
9: X: 8.506708, Y: 18.932867, Z: 18.939554
10: X: 7.389288, Y: 15.512586, Z: 23.996292
11: X: 4.343110, Y: 14.646100, Z: 29.333662
12: X: 1.907632, Y: 18.215637, Z: 35.284000
13: X: -1.434496, Y: 23.020611, Z: 37.347965
14: X: -3.585934, Y: 28.792353, Z: 36.589104
15: X: -3.970205, Y: 33.984329, Z: 33.210751
16: X: -2.484343, Y: 37.205353, Z: 28.118130
17: X: 0.473513, Y: 37.592354, Z: 22.675808
18: X: 4.110811, Y: 35.041637, Z: 18.342052
19: X: 7.452939, Y: 30.236666, Z: 16.278084
20: X: 9.604376, Y: 24.464926, Z: 17.036943
21: X: 9.988648, Y: 19.272951, Z: 20.415297
22: X: 8.502789, Y: 16.051926, Z: 25.507914
23: X: 5.544934, Y: 15.664918, Z: 30.950235
24: X: 4.138012, Y: 19.475540, Z: 36.954521
25: X: 1.879778, Y: 24.771885, Z: 39.271126
26: X: 0.792223, Y: 30.855495, Z: 38.701481
27: X: 1.166755, Y: 36.096264, Z: 35.398209
28: X: 2.903020, Y: 39.089939, Z: 30.246429
29: X: 5.535785, Y: 39.034367, Z: 24.626554
30: X: 8.359605, Y: 35.944443, Z: 20.044424
31: X: 10.617839, Y: 30.648096, Z: 17.727816
32: X: 11.705394, Y: 24.564493, Z: 18.297462
33: X: 11.330863, Y: 19.323719, Z: 21.600729
34: X: 9.594599, Y: 16.330040, Z: 26.752506
35: X: 6.961835, Y: 16.385611, Z: 32.372383
36: X: 6.966435, Y: 20.138132, Z: 38.451889
37: X: 6.042054, Y: 25.682009, Z: 41.084091
38: X: 6.162714, Y: 31.878046, Z: 40.749252
39: X: 7.296089, Y: 37.066021, Z: 37.537098
40: X: 9.138488, Y: 39.855812, Z: 32.308315
41: X: 11.196242, Y: 39.499912, Z: 26.463957
42: X: 12.917981, Y: 36.093674, Z: 21.570013
43: X: 13.842362, Y: 30.549795, Z: 18.937811
44: X: 13.721702, Y: 24.353760, Z: 19.272644
45: X: 12.588328, Y: 19.165787, Z: 22.484798
46: X: 10.745930, Y: 16.375986, Z: 27.713579
47: X: 8.688176, Y: 16.731888, Z: 33.557938
48: X: 10.424700, Y: 19.960648, Z: 39.659027
49: X: 10.979712, Y: 25.408386, Z: 42.579933
50: X: 12.368369, Y: 31.456034, Z: 42.456844
51: X: 14.218582, Y: 36.483128, Z: 39.322746
52: X: 16.034588, Y: 39.142666, Z: 34.017414
53: X: 17.329790, Y: 38.722023, Z: 27.962414
54: X: 17.757139, Y: 35.333916, Z: 22.780170
55: X: 17.202129, Y: 29.886181, Z: 19.859264
56: X: 15.813474, Y: 23.838535, Z: 19.982351
57: X: 13.963260, Y: 18.811440, Z: 23.116447
58: X: 12.147252, Y: 16.151897, Z: 28.421776
59: X: 10.852052, Y: 16.572536, Z: 34.476776
60: X: 14.460119, Y: 18.697519, Z: 40.417400
61: X: 16.463480, Y: 23.695370, Z: 43.503757
62: X: 19.051060, Y: 29.336466, Z: 43.497276
63: X: 21.529518, Y: 34.109276, Z: 40.399685
64: X: 23.234756, Y: 36.734936, Z: 35.040989
65: X: 23.709854, Y: 36.509899, Z: 28.857042
66: X: 22.827515, Y: 33.494465, Z: 23.504831
67: X: 20.824156, Y: 28.496614, Z: 20.418472
68: X: 18.236576, Y: 22.855522, Z: 20.424953
69: X: 15.758118, Y: 18.082710, Z: 23.522539
70: X: 14.052878, Y: 15.457048, Z: 28.881235
71: X: 13.577779, Y: 15.682083, Z: 35.065178
72: X: 18.927008, Y: 16.140915, Z: 40.535503
73: X: 22.185387, Y: 20.429773, Z: 43.618721
74: X: 25.788750, Y: 25.482794, Z: 43.600681
75: X: 28.771572, Y: 29.946026, Z: 40.486217
76: X: 30.334616, Y: 32.623547, Z: 35.109852
77: X: 30.059061, Y: 32.797920, Z: 28.912174
78: X: 28.018745, Y: 30.422424, Z: 23.553846
79: X: 24.760368, Y: 26.133568, Z: 20.470629
80: X: 21.157007, Y: 21.080549, Z: 20.488667
81: X: 18.174183, Y: 16.617317, Z: 23.603125
82: X: 16.611137, Y: 13.939793, Z: 28.979490
83: X: 16.886688, Y: 13.765416, Z: 35.177166
84: X: 23.575155, Y: 12.178840, Z: 39.816364
85: X: 27.823643, Y: 15.630592, Z: 42.740967
86: X: 32.214512, Y: 20.014240, Z: 42.594406
87: X: 35.571224, Y: 24.155190, Z: 39.415951
88: X: 36.994358, Y: 26.943874, Z: 34.057266
89: X: 36.102577, Y: 27.633072, Z: 27.954210
90: X: 33.134846, Y: 26.038107, Z: 22.742090
91: X: 28.886358, Y: 22.586355, Z: 19.817486
92: X: 24.495495, Y: 18.202709, Z: 19.964046
93: X: 21.138779, Y: 14.061759, Z: 23.142498
94: X: 19.715645, Y: 11.273073, Z: 28.501177
95: X: 20.607418, Y: 10.583877, Z: 34.604233
96: X: 28.061434, Y: 6.856340, Z: 38.103333
97: X: 33.045341, Y: 9.439179, Z: 40.750443
98: X: 38.010185, Y: 13.145443, Z: 40.387848
99: X: 41.625648, Y: 16.982038, Z: 37.112713
100: X: 42.922962, Y: 19.920956, Z: 31.802599
101: X: 41.554516, Y: 21.174711, Z: 25.880352
102: X: 37.886986, Y: 20.407364, Z: 20.932833
103: X: 32.903084, Y: 17.824526, Z: 18.285723
104: X: 27.938240, Y: 14.118265, Z: 18.648312
105: X: 24.322777, Y: 10.281670, Z: 21.923447
106: X: 23.025459, Y: 7.342753, Z: 27.233557
107: X: 24.393900, Y: 6.088995, Z: 33.155804
108: X: 31.985043, Y: 0.427542, Z: 35.336784
109: X: 37.493351, Y: 2.152794, Z: 37.617054
110: X: 42.858345, Y: 5.206148, Z: 36.975624
111: X: 46.642475, Y: 8.769458, Z: 33.584354
112: X: 47.831795, Y: 11.887940, Z: 28.351940
